Album Number,Album Name,Release Date,Taylor's Musical Era,Album Instrumentation Types & Proportions,Songs Included in Album,Song Chord Progressions,Song Modes/Keys,Song Instrumentation Types & Proportions
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",mad woman,Unknown,Unknown,Piano(30%)、Drums(20%)、Bass(20%)、Synth(15%)、Strings(15%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",mirrorball,Unknown,Unknown,AcousticGuitar(25%)、Tambourine(20%)、ElectricGuitar(15%)、Bass(15%)、Drums(15%)、Synth(10%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",my tears ricochet,Unknown,Unknown,Piano(30%)、Drums(20%)、Strings(20%)、Synth(15%)、Bass(15%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",peace,Unknown,Unknown,Bass(30%)、Drums(20%)、Piano(20%)、Synth(15%)、Guitar(15%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",seven,Unknown,Unknown,Piano(30%)、AcousticGuitar(25%)、Strings(20%)、Drums(15%)、Synth(10%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",the 1,I-V-vi-IV,C Major,Piano(30%)、ElectronicDrums(20%)、AcousticGuitar(20%)、Bass(15%)、ElectronicEffects(15%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",the lakes,Unknown,Unknown,AcousticGuitar(30%)、Strings(25%)、Piano(20%)、Drums(15%)、Bass(10%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",the last great american dynasty,Unknown,Unknown,SlideGuitar(25%)、Viola(20%)、Fiddle(15%)、Drums(15%)、ElectronicEffects(15%)、Cello(10%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",this is me trying,Unknown,Unknown,Brass(25%)、Strings(20%)、Piano(20%)、Drums(15%)、Synth(15%)、Bass(5%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",'tis the damn season,Unknown,Unknown,ElectricGuitar(25%)、Drums(20%)、AcousticGuitar(20%)、Bass(20%)、Synth(15%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",champagne problems,I-V-vi-IV,F Major,Piano(45%)、ChoirHarmonies(25%)、AcousticGuitar(15%)、SoftDrums(10%)、Bass(5%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",closure,Unknown,Unknown,Percussion(30%)、Synth(25%)、Drums(20%)、Bass(15%)、Piano(10%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",coney island,Unknown,Unknown,ElectricGuitar(25%)、Drums(20%)、Bass(20%)、Piano(15%)、Strings(15%)、Synth(5%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",cowboy like me,Unknown,Unknown,Guitar(25%)、Harmonica(15%)、Mandolin(15%)、Piano(15%)、Bass(15%)、Drums(15%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",dorothea,Unknown,Unknown,Piano(25%)、Guitar(20%)、HandDrums(15%)、Drums(15%)、Bass(15%)、Strings(10%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",evermore,Unknown,Unknown,Piano(30%)、Drums(20%)、Strings(20%)、AcousticGuitar(15%)、Bass(15%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",gold rush,Unknown,Unknown,Brass(20%)、Strings(20%)、Synth(15%)、Drums(15%)、Guitar(15%)、Piano(15%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",happiness,Unknown,Unknown,Synth(25%)、Guitar(20%)、Piano(20%)、Drums(15%)、Bass(10%)、ChurchOrgan(10%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",it's time to go,Unknown,Unknown,Piano(30%)、Guitar(20%)、Drums(15%)、Bass(15%)、SlideGuitar(15%)、Synth(5%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",ivy,Unknown,Unknown,Guitar(25%)、Banjo(15%)、Trumpet(15%)、SleighBells(10%)、Drums(10%)、Bass(10%)、Harmony(15%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",long story short,Unknown,Unknown,DrumMachine(30%)、ElectricGuitar(20%)、Synth(20%)、Bass(20%)、Keyboard(10%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",marjorie,Unknown,Unknown,Synth(25%)、Strings(20%)、Piano(20%)、Drums(15%)、Bass(15%)、ElectronicEffects(5%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)","no body, no crime",Unknown,Unknown,Harmonica(25%)、SirenSamples(20%)、AcousticGuitar(20%)、Bass(15%)、Drums(15%)、Mandolin(5%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",right where you left me,Unknown,Unknown,Banjo(20%)、Harmonica(15%)、AcousticGuitar(20%)、Drums(15%)、Bass(15%)、Organ(15%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",tolerate it,Unknown,Unknown,Piano(30%)、Drums(20%)、Strings(20%)、Bass(15%)、Synth(15%)
9,Evermore,2020/12/11,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient), Banjo (some tracks)",willow,I-V-vi-IV,G Major,FingerstyleGuitar(30%)、OrchestralStrings(25%)、Drums(15%)、Bass(15%)、Synth(15%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Anti-Hero,I-V-vi-IV,C Major,Drums(25%)、Synth(25%)、Bass(20%)、ElectricGuitar(15%)、Keyboard(15%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Bejeweled,I-V-vi-IV,G Major,Synth(30%)、Drums(25%)、Keyboard(20%)、Bass(15%)、ElectricGuitar(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Bigger Than the Whole Sky,Unknown,Unknown,Piano(30%)、Vocals(25%)、Synth(20%)、Strings(15%)、Drums(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Dear Reader,Unknown,Unknown,Synth(30%)、ElectronicDrums(25%)、Vocals(20%)、Bass(15%)、Guitar(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Glitch,Unknown,Unknown,Synth(30%)、ElectronicDrums(25%)、Vocals(20%)、Bass(15%)、Guitar(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",High Infidelity,Unknown,Unknown,Synth(30%)、ElectronicDrums(25%)、Vocals(20%)、Bass(15%)、Guitar(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Hits Different,Unknown,Unknown,Synth(30%)、ElectronicDrums(25%)、Vocals(20%)、Bass(15%)、Guitar(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Karma,Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、Keyboard(15%)、VocalSamples(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Labyrinth,Unknown,Unknown,Synth(35%)、DrumMachine(25%)、Bass(20%)、Keyboard(15%)、VocalEffects(5%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Lavender Haze,I-vi-IV-V,D Major,Synth(30%)、Drums(25%)、Bass(20%)、Keyboard(15%)、VocalEffects(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Lavender Haze (Remix),Unknown,Unknown,Synth(35%)、ElectronicDrums(25%)、Bass(20%)、Vocals(15%)、Guitar(5%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Maroon,I-vi-IV-V,Bb Major,Synth(35%)、Drums(20%)、Bass(20%)、Keyboard(15%)、Strings(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Mastermind,Unknown,Unknown,Synth(35%)、Drums(25%)、Bass(20%)、Strings(15%)、Keyboard(5%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Midnight Rain,I-V-vi-IV,C Major,Synth(35%)、DrumMachine(25%)、Bass(20%)、VocalEffects(15%)、Keyboard(5%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Paris,Unknown,Unknown,Synth(30%)、ElectronicDrums(25%)、Vocals(20%)、Bass(15%)、Guitar(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Paris (Remix),Unknown,Unknown,Synth(35%)、ElectronicDrums(25%)、Bass(20%)、Vocals(15%)、Guitar(5%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Question...?,Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、Keyboard(15%)、VocalSamples(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Snow on the Beach,Unknown,Unknown,Synth(30%)、Strings(25%)、Drums(15%)、Bass(15%)、Piano(15%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Sweet Nothing,Unknown,Unknown,Piano(30%)、Synth(20%)、Drums(15%)、Bass(15%)、AcousticGuitar(15%)、Strings(5%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",The Great War,Unknown,Unknown,Synth(30%)、ElectronicDrums(25%)、Vocals(20%)、Bass(15%)、Guitar(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)",Vigilante Shit,Unknown,Unknown,DrumMachine(35%)、Synth(25%)、Bass(25%)、VocalEffects(15%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)","Would've, Could've, Should've",Unknown,Unknown,Synth(30%)、ElectronicDrums(25%)、Vocals(20%)、Bass(15%)、Guitar(10%)
10,Midnights,2022/10/21,Current Pop Era,"Synth (dominant), Electronic Beats, Bass, Electric Guitar, Piano, Acoustic Elements (a little)","You're on Your Own, Kid",Unknown,Unknown,Synth(30%)、Drums(25%)、ElectricGuitar(20%)、Bass(15%)、Keyboard(10%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",Actually Romantic,Unknown,Unknown,Keyboard(30%)、Drums(25%)、Bass(20%)、Synth(15%)、Guitar(10%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",CANCELLED!,Unknown,Unknown,Keyboard(30%)、Drums(25%)、Bass(20%)、ElectricGuitar(15%)、Synth(10%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",Eldest Daughter,Unknown,Unknown,Piano(30%)、Strings(25%)、Drums(15%)、Bass(15%)、Synth(15%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",Elizabeth Taylor,Unknown,Unknown,Keyboard(30%)、Drums(25%)、ElectricGuitar(20%)、Bass(15%)、Strings(10%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",Father Figure,Unknown,Unknown,Keyboard(25%)、Drums(20%)、Bass(20%)、ElectricGuitar(15%)、Strings(15%)、PedalSteelGuitar(5%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",Honey,Unknown,Unknown,Piano(30%)、AcousticGuitar(25%)、Strings(20%)、Drums(15%)、Bass(10%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",Opalite,Unknown,Unknown,Synth(35%)、Drums(25%)、Bass(20%)、Keyboard(15%)、Guitar(5%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",Ruin the Friendship,Unknown,Unknown,AcousticGuitar(30%)、Drums(20%)、Bass(20%)、ElectricGuitar(15%)、Keyboard(15%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",The Fate of Ophelia,Unknown,Unknown,Keyboard(30%)、Drums(25%)、Guitar(20%)、Bass(15%)、Strings(10%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",The Life of a Showgirl,Unknown,Unknown,Keyboard(25%)、Drums(25%)、Bass(20%)、ElectricGuitar(15%)、Strings(10%)、Brass(5%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",Wi$h Li$t,Unknown,Unknown,Keyboard(30%)、Drums(25%)、Bass(20%)、ElectricGuitar(15%)、Synth(10%)
12,The Life of a Showgirl,2025/10/3,Current Pop Era,"Synth, Electronic Beats, Piano, Electric Guitar, Bass, Drums, Horns (some tracks)",Wood,Unknown,Unknown,Drums(25%)、Bass(25%)、Guitar(25%)、Keyboard(15%)、Synth(10%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",But Daddy I Love Him,Unknown,Unknown,Drums(25%)、ElectricGuitar(25%)、Synth(20%)、Bass(20%)、Strings(10%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",Clara Bow,Unknown,Unknown,Piano(30%)、Strings(25%)、AcousticGuitar(20%)、Drums(15%)、Bass(10%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",Down Bad,Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、ElectricGuitar(15%)、Keyboard(10%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",Florida!!!,Unknown,Unknown,Drums(25%)、Synth(25%)、ElectricGuitar(20%)、Bass(20%)、Brass(10%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",Fortnight,I-vi-IV-V,Eb Major,Synth(25%)、Drums(25%)、ElectricGuitar(20%)、Bass(20%)、Cello(10%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",Fresh Out the Slammer,Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、Keyboard(15%)、Organ(10%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",Guilty as Sin?,Unknown,Unknown,AcousticGuitar(30%)、Drums(20%)、Bass(20%)、ElectricGuitar(15%)、Synth(15%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",I Can Do It with a Broken Heart,Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、ElectricGuitar(15%)、Keyboard(10%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",I Can Fix Him (No Really I Can),Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、ElectricGuitar(15%)、Keyboard(10%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",My Boy Only Breaks His Favorite Toys,Unknown,Unknown,Drums(30%)、Synth(25%)、Bass(20%)、ElectricGuitar(15%)、VocalEffects(10%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings","So Long, London",Unknown,Unknown,Piano(30%)、Synth(20%)、Strings(20%)、Drums(15%)、Bass(15%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",The Alchemy,Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、Keyboard(15%)、ElectricGuitar(10%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",The Smallest Man Who Ever Lived,I-vi-IV-V,D Major,Piano(25%)、Drums(20%)、Strings(20%)、Synth(15%)、Bass(15%)、Brass(5%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",The Tortured Poets Department,Unknown,Unknown,Piano(30%)、Synth(25%)、Drums(15%)、Bass(15%)、Cello(15%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",Who's Afraid of Little Old Me?,Unknown,Unknown,Piano(30%)、Drums(20%)、Strings(20%)、Synth(15%)、Bass(15%)
11,The Tortured Poets Department,2024/4/19,Current Pop Era,"Synth, Electronic Beats, Piano, Electric & Acoustic Guitar, Bass, Strings",loml,Unknown,Unknown,Piano(35%)、Strings(25%)、AcousticGuitar(20%)、Drums(10%)、Bass(10%)
